City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
112,Chuy,UY,57.79,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
115,Jiuquan,CN,47.82,clear sky,39.7432,98.5174,Jiuquan Hotel
116,Pontal Do Parana,BR,63.21,clear sky,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
120,Busselton,AU,66.04,clear sky,-33.65,115.3333,Observatory Guest House
121,Port Hardy,CA,48.38,light rain,50.6996,-127.4199,Airport Inn
122,Ponta Do Sol,PT,68.72,scattered clouds,32.6667,-17.1,Hotel do Campo
123,Tasiilaq,GL,32.16,light snow,65.6145,-37.6368,The Red House
126,Baruun-Urt,MN,38.75,scattered clouds,46.6806,113.2792,Ахмадын амралт сувилал
133,Arraial Do Cabo,BR,68.65,clear sky,-22.9661,-42.0278,Pousada Porto Praia
134,Fort Payne,US,56.61,clear sky,34.4442,-85.7197,"Holiday Inn Express & Suites Fort Payne, an IHG Hotel"
135,Linkou,CN,50.05,clear sky,45.3,130.2833,Yueliang Resort
137,Coquimbo,CL,55.81,clear sky,-29.9533,-71.3436,Punto de encuentro
139,Nome,US,32.0,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
140,Bagdarin,RU,37.38,few clouds,54.4333,113.6,Gostevoy Dom Terem
141,Svetlogorsk,BY,43.29,few clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
144,Tinskoy,RU,39.0,overcast clouds,56.1525,96.9161,"Kemping ""Turist"""
146,San Cristobal,VE,68.18,few clouds,7.7669,-72.225,Posada Villaven C.A.
148,Castro,BR,55.31,clear sky,-24.7911,-50.0119,CHACARA BAILLY
149,Ashland,US,48.87,overcast clouds,40.8167,-82.2665,"Holiday Inn Express & Suites Ashland, an IHG Hotel"
152,Metu,ET,53.42,few clouds,8.3,35.5833,Ilu Star International Hotel
153,Praia Da Vitoria,PT,67.75,few clouds,38.7333,-27.0667,Hotel Branco I
157,Nikolskoye,RU,44.87,overcast clouds,59.7035,30.7861,Tourist House - Sablino
158,Lebu,CL,50.67,broken clouds,-37.6167,-73.65,Hostal Las Lilas
160,Lagoa,PT,67.55,scattered clouds,39.05,-27.9833,Casa Das Faias
162,Cidreira,BR,64.96,clear sky,-30.1811,-50.2056,Hotel Castelo
168,College,US,32.47,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
174,Camacupa,AO,63.07,overcast clouds,-12.0167,17.4833,seviremde seni
175,Cervo,ES,44.19,few clouds,43.6702,-7.4101,Hotel Spa Galatea
177,Melo,UY,55.98,light rain,-32.3667,-54.1833,Hotel Juana
178,Devils Lake,US,32.95,overcast clouds,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
180,Peterhead,GB,43.12,overcast clouds,57.5058,-1.7981,Palace Hotel
183,Hirosaki,JP,49.68,overcast clouds,40.5931,140.4725,Dormy Inn Hirosaki
184,Katsuura,JP,62.71,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
185,Dolinsk,RU,46.26,clear sky,47.35,142.8,"Gostinitsa ""Yubileynaya"""
187,Mulchen,CL,45.59,clear sky,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
188,Tuktoyaktuk,CA,33.46,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
189,Oktyabrskiy,RU,46.29,few clouds,54.4815,53.471000000000004,Уязы-Тау гостиница
190,Barrow,US,30.22,light snow,71.2906,-156.7887,King Eider Inn
192,Huarmey,PE,63.99,overcast clouds,-10.0681,-78.1522,Hotel Miramar
193,Port Alfred,ZA,61.32,clear sky,-33.5906,26.891,The Halyards Hotel
196,Klaksvik,FO,45.52,overcast clouds,62.2266,-6.5889999999999995,Airbnb rooms
199,Chenghai,CN,69.76,overcast clouds,23.4632,116.76799999999999,Guangdong Hotel
202,Broken Hill,AU,69.08,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
204,Los Llanos De Aridane,ES,65.95,few clouds,28.6585,-17.9182,Valle Aridane
205,Klyuchi,RU,38.5,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
207,Bethel,US,59.92,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
208,The Pas,CA,35.62,overcast clouds,53.8251,-101.2541,Wescana Inn
210,Kayseri,TR,32.02,clear sky,38.736999999999995,35.4968,ibis Kayseri
211,Codrington,AU,56.79,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
212,Isparta,TR,38.16,few clouds,38.0,31.0,FAME RESIDENCE LARA
213,Fortuna,US,56.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
218,Cochrane,CA,53.2,overcast clouds,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
221,Vredendal,ZA,57.65,moderate rain,-31.6683,18.5012,Tharrakamma Guest House
224,Husavik,IS,36.73,light rain,66.0449,-17.3389,Bjarnabúð
227,Tuatapere,NZ,66.18,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
229,Portland,US,55.44,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
231,Kurchum,KZ,35.47,few clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
234,Belyy Yar,RU,37.29,clear sky,53.6039,91.3903,Pasportnyy Stol
235,Mayo,US,60.94,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
236,Dafeng,CN,58.86,overcast clouds,23.4517,108.5881,Shenglong Hotel
237,Bose,IT,51.3,clear sky,45.4612,8.0137,Locanda Borgo Antico
239,Shunyi,CN,52.29,clear sky,40.125,116.6453,Beijing Mingchen Holiday Hotel
241,Wahpeton,US,39.22,clear sky,46.2652,-96.6059,Select Inn Breckenridge
244,Saint Anthony,US,43.93,overcast clouds,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
245,Grindavik,IS,47.89,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
247,Andenes,NO,30.18,overcast clouds,69.3143,16.1194,Hotell Marena
249,Machali,CL,49.71,clear sky,-34.1833,-70.6667,Mining House
250,Kreminna,UA,50.76,broken clouds,49.0495,38.2179,"ОЗЕРНЫЙ, САНАТОРИЙ"
251,Te Anau,NZ,63.75,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
252,Changji,CN,38.19,light rain,44.0167,87.3167,Lvye Holiday Resort
253,Safita,SY,62.51,clear sky,34.8205,36.1153,Safita Cham Hotel
254,Chingola,ZM,66.15,few clouds,-12.529000000000002,27.8838,Protea Hotel by Marriott Chingola
257,Bonaventure,CA,55.35,broken clouds,48.0457,-65.4926,Riôtel Bonaventure (N° établissement : 1271)
261,Karatau,KZ,36.03,scattered clouds,43.1667,70.4667,Baza Zika
262,De-Kastri,RU,41.22,overcast clouds,51.4667,140.7833,Somon Hotel
263,Puerto Baquerizo Moreno,EC,69.87,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
266,Lukovetskiy,RU,30.18,snow,64.2956,41.9211,Gostinitsa
267,Diego De Almagro,CL,55.74,overcast clouds,-26.3667,-70.05,hotel luna del desierto
271,Ahipara,NZ,60.71,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
273,Nelspruit,ZA,64.99,clear sky,-25.4745,30.9703,Leaves Lodge and Spa
276,Makhinjauri,GE,53.46,clear sky,41.6739,41.693999999999996,Golden Anchor
278,Barcelos,PT,58.91,clear sky,41.5388,-8.6151,Hotel Do Terço
279,Kamina,CD,64.06,overcast clouds,-8.7386,24.9906,Guest House Florvia
280,Shache,CN,49.48,overcast clouds,38.4167,77.2406,Delong Hotel
281,Saldanha,ZA,58.46,light rain,-33.0117,17.9442,Blue Bay Lodge
283,Coihaique,CL,38.75,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
284,Bartlesville,US,69.51,broken clouds,36.7473,-95.9808,Hilton Garden Inn Bartlesville
292,Khurai,IN,69.22,clear sky,24.0436,78.3319,Shehnai Garden Hotel & Restaurant Khurai
293,Ilebo,CD,69.35,broken clouds,-4.3167,20.5833,Hôtel BUMAK
297,Constitucion,CL,49.17,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
301,Edson,CA,35.71,broken clouds,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
305,Asfi,MA,61.63,clear sky,32.2994,-9.2372,Hôtel Abda
307,Rawson,AR,55.49,few clouds,-43.3002,-65.1023,Hosteria Sampedro
310,Imeni Poliny Osipenko,RU,36.3,broken clouds,52.4201,136.4853,Yubileynaya
311,Solnechnyy,RU,41.4,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
312,Hasaki,JP,59.4,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
314,Worland,US,58.87,clear sky,44.0169,-107.9554,Town House Motor Inn
316,Kultuk,RU,42.22,clear sky,51.7208,103.6956,"Hostel ""Viertikal'"""
317,Waipawa,NZ,57.31,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
318,Ajdabiya,LY,69.76,few clouds,30.7554,20.2263,Almadina Hotel
321,Tabas,IR,52.38,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
322,Sitka,US,45.43,light rain,57.0531,-135.33,Westmark Sitka
323,Oster,UA,47.79,clear sky,50.9506,30.8823,Подвал О-Сану
324,Yuci,CN,46.15,clear sky,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
325,Vanderhoof,CA,44.8,clear sky,54.0166,-124.0198,Vanderhoof Inn
326,Lukulu,ZM,69.26,few clouds,-14.3707,23.241999999999997,Ruth Guest House
328,Kalaleh,IR,57.31,clear sky,37.3807,55.4916,عطر و ادکلن پارسیس
329,Oyem,GA,66.04,overcast clouds,1.5995,11.5793,Commissariat de police
331,Wanaka,NZ,66.43,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
332,Sorland,NO,40.84,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
333,Verkhnyaya Toyma,RU,38.91,overcast clouds,62.2349,44.9985,Gostinitsa Sportivnaya
334,Morwell,AU,61.92,overcast clouds,-38.2333,146.4,Morwell Motel
335,Suzun,RU,37.62,overcast clouds,53.7841,82.3116,Elegant Lyuks
336,Esperance,AU,62.44,clear sky,-33.8667,121.9,Hospitality Esperance
337,Xining,CN,44.2,scattered clouds,36.6167,101.7667,Super Leisure Hotel
338,Pisco,PE,61.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
340,Ishinomaki,JP,49.96,broken clouds,38.4167,141.3,Hotel Route Inn Ishinomaki Henan Inter
341,Izumo,JP,62.55,scattered clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
345,Chernyshevskiy,RU,33.22,broken clouds,63.0128,112.4714,Chernyseyskiy
350,Saurimo,AO,64.17,few clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
351,Burnie,AU,57.94,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
355,Olkhovatka,RU,52.86,overcast clouds,50.2831,39.2872,Gostinnyy Dvorik
357,Kaitangata,NZ,60.67,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
359,Lerum,SE,48.02,clear sky,57.7745,12.2697,Aspenäs Herrgård
361,Ust-Kut,RU,38.25,overcast clouds,56.7938,105.7672,Otel Flagman
362,Komsomolets,KZ,45.3,overcast clouds,53.7453,62.0708,Avtostoyanka
365,Yerofey Pavlovich,RU,41.13,clear sky,53.9667,121.9667,lounges and warm parking
368,Kitami,JP,47.12,overcast clouds,43.8031,143.8908,Toyoko INN Kitami Ekimae
369,Ilhabela,BR,67.06,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
370,Kokstad,ZA,52.27,broken clouds,-30.5472,29.4241,Majestic Bed and Breakfast
371,Whitehorse,CA,42.31,overcast clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
374,Gorno-Altaysk,RU,33.28,few clouds,51.9561,85.955,"Otel' "" Ryzhiy Pos"""
375,Maldonado,UY,58.39,heavy intensity rain,-34.6667,-54.9167,La Cimarrona
376,Vizinga,RU,40.87,broken clouds,61.0749,50.1031,"Gostinitsa ""Nadezhda"""
377,Escanaba,US,44.2,overcast clouds,45.7453,-87.0646,Sunset Lodge
378,Never,FR,44.35,broken clouds,46.9896,3.159,Hôtel Kyriad Nevers Centre
379,Cedar City,US,58.17,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
382,Wakkanai,JP,47.26,few clouds,45.4094,141.6739,Hyōsetsu-sō
384,Mikhaylovka,RU,49.6,overcast clouds,50.06,43.2379,5 Komnat
385,Kitimat,CA,44.91,light rain,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
387,Myronivka,UA,48.07,few clouds,49.6601,30.9823,Petryky Dim Myronivka
389,Muzaffarnagar,IN,67.39,clear sky,29.4667,77.6833,Arcade Farm
390,Fairbanks,US,32.49,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
391,Imbituba,BR,68.83,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
393,Campbell River,CA,51.6,overcast clouds,50.0163,-125.2446,Ramada by Wyndham Campbell River
394,Kiboga,UG,59.99,broken clouds,0.9161,31.7742,Marie Lustenberger Guest House
395,Vila,PT,48.33,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
396,Slave Lake,CA,44.35,overcast clouds,55.2834,-114.76899999999999,Super 8 by Wyndham Slave Lake AB
397,Viedma,AR,44.91,clear sky,-40.8135,-62.9967,Hotel Cristal
399,Chitungwiza,ZW,64.45,few clouds,-18.0127,31.0756,Damview Hotel
400,La Palma,US,68.41,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
401,Tairua,NZ,59.09,overcast clouds,-37.0167,175.85,Pacific Harbour Villas
402,Bonavista,CA,53.11,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
403,Asosa,ET,60.24,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
404,Coos Bay,US,57.18,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
406,High Level,CA,43.32,overcast clouds,58.5169,-117.13600000000001,Days Inn by Wyndham High Level
407,Brora,GB,46.72,overcast clouds,58.0099,-3.8518,"Royal Marine Hotel, Brora"
408,Kurilsk,RU,46.15,moderate rain,45.2333,147.8833,Hotel Ostrov
410,Comodoro Rivadavia,AR,55.08,overcast clouds,-45.8667,-67.5,Austral Hotel
413,Lucapa,AO,64.81,broken clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
415,Estevan,CA,34.14,clear sky,49.1334,-102.9842,"Motel 6 Estevan, SK"
416,Liling,CN,61.68,broken clouds,27.6667,113.5,Shangri-La Hotel
420,Sistranda,NO,45.9,overcast clouds,63.7256,8.834,Hotell Frøya
421,Kalispell,US,51.17,overcast clouds,48.1958,-114.3129,Red Lion Hotel Kalispell
422,Flin Flon,CA,34.16,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
423,Torre-Pacheco,ES,63.12,clear sky,37.7429,-0.9540000000000001,Caleia Mar Menor Golf & Spa Resort
426,Yatou,CN,57.88,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
429,Beyla,GN,66.6,broken clouds,8.6833,-8.6333,DIAN SINKO
431,Hokitika,NZ,60.93,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
433,Sal,JO,60.57,clear sky,32.5694,35.9119,Khaled sharif ababneh
436,Petropavlovsk-Kamchatskiy,RU,37.99,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
443,Ust-Ishim,RU,42.93,moderate rain,57.6935,71.1665,"Velichko T.p., Gostinitsa"
444,Palmer,US,57.54,broken clouds,42.1584,-72.3287,Wedgewood Motel
445,Paamiut,GL,34.86,clear sky,61.994,-49.6678,Hotel Ivaana
453,Smithers,CA,42.06,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
455,Songjianghe,CN,45.73,clear sky,42.1859,127.479,Sijisheng Fashion Guest House
456,Ghanzi,BW,68.16,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
458,Jasper,US,62.65,scattered clouds,37.2001,-94.3502,Guest House Motel
462,Seddon,AU,58.98,overcast clouds,-37.8068,144.8916,Footscray Motor Inn
466,Hay River,CA,41.45,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
467,Shasta Lake,US,57.56,overcast clouds,40.6804,-122.3708,Shasta Dam Motel
468,Plymouth,US,61.72,broken clouds,41.8334,-70.8328,Rodeway Inn Middleboro-Plymouth
469,Shangrao,CN,54.72,overcast clouds,28.4532,117.9686,Boyue boutique Hotel
470,Altay,CN,35.64,overcast clouds,47.8667,88.1167,Jinqiao Hotel
471,Forio,IT,68.32,few clouds,40.7342,13.8646,Hotel Terme Providence
474,Fort Nelson,CA,41.65,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
475,Port-Cartier,CA,48.42,overcast clouds,50.0334,-66.8654,Le Q'Artier
476,Jieshi,CN,66.94,overcast clouds,22.8134,115.8257,Yuehai Hotel
478,Moose Factory,CA,33.91,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
479,Fasano,IT,67.08,scattered clouds,40.8344,17.3584,Park Hotel Sant'Elia
483,Port Lincoln,AU,60.28,clear sky,-34.7333,135.8667,Port Lincoln Hotel
486,Tselinnoye,RU,36.64,overcast clouds,53.0833,85.6667,Zolotaya Podkova
488,Ornes,NO,34.84,light snow,66.8689,13.7078,Ørnes Hotell AS
490,Hong Gai,VN,67.91,overcast clouds,20.956,107.0946,Hạ Long DC Hotel
491,Ucluelet,CA,54.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
494,Iquique,CL,60.84,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
497,Fort Smith,US,66.69,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
500,Varhaug,NO,44.89,overcast clouds,58.6147,5.6457,Jonas Bue
501,Eureka,US,57.2,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
502,Ginir,ET,59.72,overcast clouds,7.1333,40.7,Sura Dare Village
506,Jalu,LY,68.04,few clouds,29.0331,21.5482,صاحبة الفخامة
511,Balkhash,KZ,38.01,few clouds,46.843999999999994,74.9804,Family
515,Dongsheng,CN,43.41,clear sky,39.8161,109.9776,Crowne Plaza Ordos
516,Mao,ES,64.96,few clouds,39.8885,4.2658,ARTIEM Capri
517,Banska Stiavnica,SK,39.81,broken clouds,48.4486,18.91,Hotel Kerling
519,Norman Wells,CA,36.64,overcast clouds,65.282,-126.8329,Heritage Hotel
520,Khomeyn,IR,44.15,clear sky,33.6423,50.0789,موبایل مزدک (سجاد)
521,Bernau,DE,42.78,clear sky,52.6798,13.5871,Hotel zur Panke Restaurant und Bowling
526,La Ronge,CA,34.02,broken clouds,55.1001,-105.2842,Northland Motor Hotel
531,Sumoto,JP,66.38,few clouds,34.35,134.9,Yumekaiyu Awajishima
532,Zakamensk,RU,37.53,clear sky,50.3741,103.2863,Gostinitsa Zakamna
533,Zhangye,CN,50.14,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
534,Paso De Los Toros,UY,61.03,overcast clouds,-32.8167,-56.5167,Complejo Isabelino
538,Mwinilunga,ZM,62.1,clear sky,-11.7358,24.4293,Kwakuwahi Lodge
543,Shimoda,JP,65.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
544,Ulagan,RU,32.18,overcast clouds,50.6321,87.9563,Gostevoy Dom
545,Saint-Remi,CA,43.59,broken clouds,45.2668,-73.6159,Golden Triangle Golf Course
546,Shaunavon,CA,44.38,broken clouds,49.6501,-108.4181,Bear's Den Lodge
547,Planadas,CO,66.58,overcast clouds,3.197,-75.6451,Coffee Hotel Planadas
549,Sangmelima,CM,66.54,light rain,2.9333,11.9833,gamestar hotel
551,Fort Dix,US,60.62,clear sky,40.0298,-74.6185,Lodge Inn
554,Zhangjiakou,CN,45.39,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
555,Pombia,IT,53.62,clear sky,45.653,8.6336,Albergo Fontana
556,Acari,PE,66.65,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
560,Juegang,CN,66.97,light rain,32.3174,121.1855,Rudong Y Hotel
561,Magistralnyy,RU,35.4,broken clouds,56.1725,107.4458,Магистраль
564,Maymyo,MM,67.37,light rain,22.0333,96.4667,Tiger Hotel
565,Namanga,KE,65.14,broken clouds,-2.5433,36.7905,Hillsgate Home
566,Sao Pedro Do Sul,BR,61.57,clear sky,-29.6206,-54.1789,Sítio Hotel e Eventos
568,Brewster,US,60.15,overcast clouds,41.3973,-73.6171,Heidi's Inn
570,Rzhev,RU,41.0,overcast clouds,56.2624,34.3282,Hostel Na Razina
571,Great Falls,US,61.99,overcast clouds,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
574,San Quintin,MX,63.99,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
575,Teguise,ES,68.22,overcast clouds,29.0605,-13.564,B&B La Casona de Nazaret
576,Kaeo,NZ,60.33,overcast clouds,-35.1,173.7833,Bushido Lodge
578,Hit,IQ,69.69,clear sky,33.6416,42.8251,صالون زيرو
582,Dauphin,CA,36.34,overcast clouds,51.1494,-100.0502,Canway Inn & Suites
583,Guarapari,BR,67.86,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
584,Smirnykh,RU,42.49,scattered clouds,49.75,142.8333,Tsentral'naya
586,Maralal,KE,58.87,broken clouds,1.0968,36.698,Ngari Hill Ecolodge
593,Lasa,IT,41.36,few clouds,46.6166,10.7002,Pension Feldgärtenhof
594,Haines Junction,CA,35.38,light rain,60.7522,-137.5108,Parkside Inn
595,Pocatello,US,60.71,overcast clouds,42.8713,-112.4455,Clarion Inn Pocatello
596,Vestmannaeyjar,IS,48.76,overcast clouds,63.4427,-20.2734,Glamping & Camping
597,Vigrestad,NO,45.0,overcast clouds,58.5667,5.7,Brusand Camping
598,Qom,IR,52.72,clear sky,34.6401,50.8764,Qom Hotel
