City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sitka,US,2021-10-21 19:19:30,57.0531,-135.33,48.09,81,90,5.75
68,Avarua,CK,2021-10-21 19:19:31,-21.2078,-159.775,75.25,64,40,10.36
69,Lebu,CL,2021-10-21 19:19:31,-37.6167,-73.65,54.19,65,3,18.07
70,Pemangkat,ID,2021-10-21 19:19:31,1.1667,108.9667,77.9,84,97,7.99
71,Mingyue,CN,2021-10-21 19:19:31,43.1069,128.9217,29.41,75,82,2.86
72,Filadelfia,US,2021-10-21 19:15:21,39.9523,-75.1638,79.48,44,20,5.99
73,Gold Coast,AU,2021-10-21 19:18:05,-28.0,153.4333,68.0,96,40,2.3
74,Nouadhibou,MR,2021-10-21 19:19:32,20.931,-17.0347,71.56,72,0,16.44
75,Kavieng,PG,2021-10-21 19:19:32,-2.5744,150.7967,80.13,81,100,10.07
76,Vaini,TO,2021-10-21 19:19:32,-21.2,-175.2,73.56,94,40,8.05
77,Alice Springs,AU,2021-10-21 19:19:24,-23.7,133.8833,63.95,36,0,0.0
78,Kudahuvadhoo,MV,2021-10-21 19:19:32,2.6708,72.8944,81.91,69,14,9.6
79,Katsuura,JP,2021-10-21 19:19:32,35.1333,140.3,58.1,89,100,10.78
80,Skibotn,NO,2021-10-21 19:19:33,69.3913,20.2679,35.69,89,100,8.34
81,Victoria,HK,2021-10-21 19:16:37,22.2855,114.1577,67.24,85,100,4.0
82,Lata,PT,2021-10-21 19:19:33,40.1629,-8.3327,59.05,80,0,5.14
83,Muriti,TZ,2021-10-21 19:19:33,-1.9833,32.9167,75.31,66,100,9.51
84,La Libertad,EC,2021-10-21 19:19:33,-2.2333,-80.9,76.66,73,75,11.5
85,Mahebourg,MU,2021-10-21 19:19:33,-20.4081,57.7,74.25,83,75,6.91
86,Labuhan,ID,2021-10-21 19:19:34,-6.8844,112.2051,80.71,75,100,3.2
87,Lockport,US,2021-10-21 19:19:34,41.5895,-88.0578,53.37,83,90,12.66
88,Tiksi,RU,2021-10-21 19:19:34,71.6872,128.8694,12.18,95,100,12.28
89,Gobo,JP,2021-10-21 19:19:34,33.8833,135.15,57.18,71,100,6.24
90,Trairi,BR,2021-10-21 19:19:34,-3.2778,-39.2689,84.07,63,100,11.45
91,Waipawa,NZ,2021-10-21 19:19:34,-41.4122,175.5153,50.63,73,100,5.26
92,Sao Goncalo Do Amarante,BR,2021-10-21 19:19:35,-3.6072,-38.9683,86.04,54,100,10.6
93,Namibe,AO,2021-10-21 19:19:35,-15.1961,12.1522,67.3,79,3,9.84
94,Khovu-Aksy,RU,2021-10-21 19:19:35,51.1333,93.6,29.71,61,32,4.94
95,Beloha,MG,2021-10-21 19:19:35,-25.1667,45.05,62.85,78,0,5.7
96,Zambezi,ZM,2021-10-21 19:19:35,-13.5432,23.1047,77.97,47,100,2.04
97,Hermanus,ZA,2021-10-21 19:19:35,-34.4187,19.2345,66.79,79,100,2.48
98,Karratha,AU,2021-10-21 19:19:36,-20.7377,116.8463,76.01,55,0,4.56
99,Puerto Ayora,EC,2021-10-21 19:19:36,-0.7393,-90.3518,80.56,82,99,10.83
100,Provideniya,RU,2021-10-21 19:19:36,64.3833,-173.3,23.11,63,40,2.24
101,Mosquera,CO,2021-10-21 19:19:36,4.7059,-74.2302,59.09,94,40,10.36
102,Jaguariaiva,BR,2021-10-21 19:19:36,-24.2511,-49.7058,67.96,57,100,4.32
103,Osa,RU,2021-10-21 19:19:36,57.2829,55.4567,33.15,98,100,13.09
104,Manjacaze,MZ,2021-10-21 19:19:37,-24.7117,33.8828,68.49,67,30,12.19
105,San Patricio,US,2021-10-21 19:19:37,28.017,-97.5169,88.52,50,10,5.84
106,Ljungby,SE,2021-10-21 19:18:24,56.8332,13.9408,46.8,73,14,17.09
107,Arraial Do Cabo,BR,2021-10-21 19:19:37,-22.9661,-42.0278,69.76,64,75,9.22
108,Saskylakh,RU,2021-10-21 19:19:37,71.9167,114.0833,7.79,97,94,6.44
109,Yarim,YE,2021-10-21 19:19:37,14.298,44.3779,57.52,32,57,14.65
110,Saintes,FR,2021-10-21 19:19:37,45.6667,-0.75,58.69,89,32,10.04
111,Tarime,TZ,2021-10-21 19:19:38,-1.35,34.3667,66.15,86,98,3.69
112,Batemans Bay,AU,2021-10-21 19:19:38,-35.7167,150.1833,57.99,94,82,2.1
113,Hasaki,JP,2021-10-21 19:19:38,35.7333,140.8333,54.0,69,100,14.5
114,Kahului,US,2021-10-21 19:19:38,20.8947,-156.47,83.46,71,40,6.91
115,Manaus,BR,2021-10-21 19:19:38,-3.1019,-60.025,75.69,88,75,9.22
116,Erdenet,MN,2021-10-21 19:19:38,49.0333,104.0833,30.63,53,2,3.78
117,Mount Pleasant,US,2021-10-21 19:19:39,32.7941,-79.8626,82.09,61,75,1.99
118,Nelson Bay,AU,2021-10-21 19:19:39,-32.7167,152.15,63.0,99,17,3.89
119,Aykhal,RU,2021-10-21 19:19:39,66.0,111.5,17.02,91,60,6.35
120,Cidreira,BR,2021-10-21 19:19:39,-30.1811,-50.2056,68.2,70,12,13.0
121,Fornosovo,RU,2021-10-21 19:19:40,59.5689,30.5544,55.63,90,100,13.96
122,Broken Hill,AU,2021-10-21 19:19:40,-31.95,141.4333,61.21,59,0,10.29
